"player-name","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14","tablescraper-selected-row 15","tablescraper-selected-row 16","tablescraper-selected-row 17","tablescraper-selected-row 18","tablescraper-selected-row 19","footable-last-visible"
"Andrade Contreras, Benjamin A.","1","8:49","2","1","0","0","2","0","0","0","0","0","0","1","0","1","0","0","0","2"
"Anriquez Marinivic, Simon","7","193:01","9","41","15","36.6","34","20","58.8","20","12","60","97","1","31","32","14","0","24","23"
"Anselmo Anselmo, Luigi","6","124:40","14","19","2","10.5","40","19","47.5","16","11","68.8","55","11","29","40","23","2","14","22"
"Apablaza Fernandez, Nicolas E.","6","188:18","17","26","6","23.1","45","27","60","19","11","57.9","83","10","32","42","24","0","19","11"
"Aragon Silva, Maximiliano I.","3","81:17","16","1","0","0","32","16","50","17","8","47.1","40","12","27","39","5","5","3","16"
"Arancibia Carvallo, Felipe","4","86:57","2","17","8","47.1","7","2","28.6","3","2","66.7","30","0","8","8","1","0","0","4"
"Arancibia Lagos, Esteban","4","33:46","9","2","0","0","8","3","37.5","0","0","0","6","6","9","15","2","0","0","4"
"Aranda Liberona, Benjamin","5","31:05","4","2","0","0","3","2","66.7","0","0","0","4","0","10","10","1","0","1","2"
"Araneda Ortiz, Benjamin","5","85:04","4","1","0","0","44","22","50","17","5","29.4","49","19","30","49","12","2","8","4"
"Aranguiz Aravena, Andres","5","169:28","19","24","5","20.8","41","16","39","9","4","44.4","51","9","26","35","4","4","7","27"
"Aravena Allende, Jose","3","74:34","3","4","1","25","18","9","50","4","2","50","23","3","9","12","1","0","1","7"
"Aravena Donoso, Cristopher","6","122:11","7","2","0","0","47","24","51.1","20","12","60","60","26","25","51","6","2","7","4"
"Aravena Quesney, Joaquin A.","1","5:16","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aravena Vasquez, Lautaro","1","3:47","0","0","0","0","2","2","100","0","0","0","4","0","2","2","0","0","0","2"
"Araya Castillo, Juan","1","4:12","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"Araya Neira, Guillermo","2","4:27","1","0","0","0","2","0","0","0","0","0","0","0","2","2","0","0","0","0"
"Arce Heredia, Nicolas","3","54:27","7","1","0","0","2","2","100","2","1","50","5","5","9","14","0","0","1","3"
"Arcos Concha, Javier","2","4:43","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","1"
